Date,QQQM,TQQQ,QQQ
2016-05-09 00:00:00-04:00,,1.842175006866455,98.64633178710938
2016-05-10 00:00:00-04:00,,1.9194207191467285,99.99727630615234
2016-05-11 00:00:00-04:00,,1.8669968843460083,99.09353637695312
2016-05-12 00:00:00-04:00,,1.840785026550293,98.65567779541016
2016-05-13 00:00:00-04:00,,1.8185452222824097,98.29230499267578
2016-05-16 00:00:00-04:00,,1.8886409997940063,99.5221176147461
2016-05-17 00:00:00-04:00,,1.8161619901657104,98.27369689941406
2016-05-18 00:00:00-04:00,,1.8368134498596191,98.627685546875
2016-05-19 00:00:00-04:00,,1.8078221082687378,98.11524963378906
2016-05-20 00:00:00-04:00,,1.8681883811950684,99.196044921875
2016-05-23 00:00:00-04:00,,1.8590545654296875,99.06559753417969
2016-05-24 00:00:00-04:00,,1.9728375673294067,101.05007934570312
2016-05-25 00:00:00-04:00,,2.0153322219848633,101.77678680419922
2016-05-26 00:00:00-04:00,,2.032210111618042,102.07492065429688
2016-05-27 00:00:00-04:00,,2.062791347503662,102.60596466064453
2016-05-31 00:00:00-04:00,,2.0751023292541504,102.80162048339844
2016-06-01 00:00:00-04:00,,2.075897693634033,102.81095123291016
2016-06-02 00:00:00-04:00,,2.087613344192505,103.02523040771484
2016-06-03 00:00:00-04:00,,2.0590178966522217,102.5407485961914
2016-06-06 00:00:00-04:00,,2.0810601711273193,102.91343688964844
2016-06-07 00:00:00-04:00,,2.0663657188415527,102.65257263183594
2016-06-08 00:00:00-04:00,,2.07550048828125,102.82957458496094
2016-06-09 00:00:00-04:00,,2.0663657188415527,102.66187286376953
2016-06-10 00:00:00-04:00,,1.9968647956848145,101.49726867675781
2016-06-13 00:00:00-04:00,,1.9456324577331543,100.64945983886719
2016-06-14 00:00:00-04:00,,1.946625828742981,100.64945983886719
2016-06-15 00:00:00-04:00,,1.9291503429412842,100.36064147949219
2016-06-16 00:00:00-04:00,,1.9430516958236694,100.65875244140625
2016-06-17 00:00:00-04:00,,1.8765287399291992,99.47891998291016
2016-06-20 00:00:00-04:00,,1.9102866649627686,100.10480499267578
2016-06-21 00:00:00-04:00,,1.9293500185012817,100.42240905761719
2016-06-22 00:00:00-04:00,,1.916839361190796,100.17951965332031
2016-06-23 00:00:00-04:00,,1.9976588487625122,101.60879516601562
2016-06-24 00:00:00-04:00,,1.7530156373977661,97.42375183105469
2016-06-27 00:00:00-04:00,,1.6509474515914917,95.49005889892578
2016-06-28 00:00:00-04:00,,1.7544053792953491,97.58255767822266
2016-06-29 00:00:00-04:00,,1.845550775527954,99.31077575683594
2016-06-30 00:00:00-04:00,,1.9126695394515991,100.45977783203125
2016-07-01 00:00:00-04:00,,1.9388813972473145,100.96422576904297
2016-07-05 00:00:00-04:00,,1.9045274257659912,100.3476791381836
2016-07-06 00:00:00-04:00,,1.9494049549102783,101.16974639892578
2016-07-07 00:00:00-04:00,,1.9678727388381958,101.46867370605469
2016-07-08 00:00:00-04:00,,2.0588200092315674,103.0380859375
2016-07-11 00:00:00-04:00,,2.093968152999878,103.6266098022461
2016-07-12 00:00:00-04:00,,2.1269311904907227,104.14972686767578
2016-07-13 00:00:00-04:00,,2.112037420272827,103.89751434326172
2016-07-14 00:00:00-04:00,,2.1549298763275146,104.60746765136719
2016-07-15 00:00:00-04:00,,2.142817258834839,104.4393310546875
2016-07-18 00:00:00-04:00,,2.1855108737945557,105.13057708740234
2016-07-19 00:00:00-04:00,,2.1628730297088623,104.74758911132812
2016-07-20 00:00:00-04:00,,2.23694109916687,105.9713363647461
2016-07-21 00:00:00-04:00,,2.2236368656158447,105.72844696044922
2016-07-22 00:00:00-04:00,,2.2494516372680664,106.16753387451172
2016-07-25 00:00:00-04:00,,2.251436710357666,106.17686462402344
2016-07-26 00:00:00-04:00,,2.2589833736419678,106.29829406738281
2016-07-27 00:00:00-04:00,,2.3030667304992676,107.03629302978516
2016-07-28 00:00:00-04:00,,2.3280868530273438,107.40996551513672
2016-07-29 00:00:00-04:00,,2.3433775901794434,107.64349365234375
2016-08-01 00:00:00-04:00,,2.380112886428833,108.21334075927734
2016-08-02 00:00:00-04:00,,2.3264987468719482,107.39127349853516
2016-08-03 00:00:00-04:00,,2.3485400676727295,107.74625396728516
2016-08-04 00:00:00-04:00,,2.36958909034729,108.05452728271484
2016-08-05 00:00:00-04:00,,2.4380974769592285,109.09146118164062
2016-08-08 00:00:00-04:00,,2.4303536415100098,108.97000122070312
2016-08-09 00:00:00-04:00,,2.446437358856201,109.22222900390625
2016-08-10 00:00:00-04:00,,2.42757248878479,108.94197845458984
2016-08-11 00:00:00-04:00,,2.4589478969573975,109.4090576171875
2016-08-12 00:00:00-04:00,,2.4635143280029297,109.4837875366211
2016-08-15 00:00:00-04:00,,2.4944918155670166,109.95085144042969
2016-08-16 00:00:00-04:00,,2.455174446105957,109.34367370605469
2016-08-17 00:00:00-04:00,,2.4666922092437744,109.53984069824219
2016-08-18 00:00:00-04:00,,2.4690744876861572,109.56786346435547
2016-08-19 00:00:00-04:00,,2.4656982421875,109.53984069824219
2016-08-22 00:00:00-04:00,,2.4680819511413574,109.62391662597656
2016-08-23 00:00:00-04:00,,2.482776641845703,109.82008361816406
2016-08-24 00:00:00-04:00,,2.4349193572998047,109.11012268066406
2016-08-25 00:00:00-04:00,,2.4234025478363037,108.93263244628906
2016-08-26 00:00:00-04:00,,2.4351186752319336,109.09146118164062
2016-08-29 00:00:00-04:00,,2.4418702125549316,109.24089050292969
2016-08-30 00:00:00-04:00,,2.419827938079834,108.88592529296875
2016-08-31 00:00:00-04:00,,2.41347336769104,108.7738265991211
2016-09-01 00:00:00-04:00,,2.424196720123291,109.0540771484375
2016-09-02 00:00:00-04:00,,2.4525935649871826,109.4090576171875
