Date,TQQQ,QQQ
2025-10-01 00:00:00-04:00,52.26162338256836,601.7150268554688
2025-10-02 00:00:00-04:00,52.899566650390625,604.188720703125
2025-10-03 00:00:00-04:00,52.181880950927734,601.645263671875
2025-10-06 00:00:00-04:00,53.34812545776367,606.1636962890625
2025-10-07 00:00:00-04:00,52.48590087890625,602.9718627929688
2025-10-08 00:00:00-04:00,54.26517105102539,609.8842163085938
2025-10-09 00:00:00-04:00,54.05086135864258,609.1461181640625
2025-10-10 00:00:00-04:00,48.37913513183594,588.0000610351562
2025-10-13 00:00:00-04:00,51.44924545288086,600.4782104492188
2025-10-14 00:00:00-04:00,50.402610778808594,596.4784545898438
2025-10-15 00:00:00-04:00,51.43429183959961,600.6876831054688
2025-10-16 00:00:00-04:00,50.86113739013672,598.46337890625
2025-10-17 00:00:00-04:00,51.82802200317383,602.393310546875
2025-10-20 00:00:00-04:00,53.771759033203125,609.9839477539062
2025-10-21 00:00:00-04:00,53.711952209472656,609.8244018554688
2025-10-22 00:00:00-04:00,52.132041931152344,603.9493408203125
2025-10-23 00:00:00-04:00,53.437835693359375,609.0264282226562
2025-10-24 00:00:00-04:00,55.10247039794922,615.52978515625
2025-10-27 00:00:00-04:00,58.028045654296875,626.4918823242188
2025-10-28 00:00:00-04:00,59.35377502441406,631.3095703125
2025-10-29 00:00:00-04:00,60.11133575439453,634.15234375
2025-10-30 00:00:00-04:00,57.36019515991211,624.45703125
2025-10-31 00:00:00-04:00,58.17258071899414,627.4694213867188
2025-11-03 00:00:00-05:00,58.97001266479492,630.4716796875
2025-11-04 00:00:00-05:00,55.36164093017578,617.67431640625
2025-11-05 00:00:00-05:00,56.438167572021484,621.6941528320312
2025-11-06 00:00:00-05:00,53.27336502075195,610.1136474609375
2025-11-07 00:00:00-05:00,52.72014617919922,608.1885375976562
2025-11-10 00:00:00-05:00,56.17401885986328,621.6442260742188
2025-11-11 00:00:00-05:00,55.710514068603516,619.9884643554688
2025-11-12 00:00:00-05:00,55.59588623046875,619.4996948242188
2025-11-13 00:00:00-05:00,52.161949157714844,606.8519897460938
2025-11-14 00:00:00-05:00,52.20181655883789,607.310791015625
2025-11-17 00:00:00-05:00,50.86113739013672,602.1240234375
2025-11-18 00:00:00-05:00,49.022064208984375,594.7926635742188
2025-11-19 00:00:00-05:00,49.864349365234375,598.3436279296875
2025-11-20 00:00:00-05:00,46.30083084106445,584.1797485351562
2025-11-21 00:00:00-05:00,47.327518463134766,588.568603515625
2025-11-24 00:00:00-05:00,50.91596603393555,603.6201782226562
2025-11-25 00:00:00-05:00,51.84297180175781,607.3407592773438
2025-11-26 00:00:00-05:00,53.1986083984375,612.70703125
2025-11-28 00:00:00-05:00,54.36484909057617,617.67431640625
2025-12-01 00:00:00-05:00,53.87641906738281,615.599609375
2025-12-02 00:00:00-05:00,55.12240982055664,620.4172973632812
2025-12-03 00:00:00-05:00,55.51115417480469,621.9334716796875
2025-12-04 00:00:00-05:00,55.33173370361328,621.35498046875
2025-12-05 00:00:00-05:00,55.96968078613281,623.8884887695312
2025-12-08 00:00:00-05:00,55.62080001831055,622.6915283203125
2025-12-09 00:00:00-05:00,55.83012390136719,623.4595336914062
2025-12-10 00:00:00-05:00,56.468074798583984,626.0130615234375
2025-12-11 00:00:00-05:00,55.9298095703125,623.98828125
2025-12-12 00:00:00-05:00,52.65037536621094,612.0586547851562
2025-12-15 00:00:00-05:00,51.852943420410156,608.9865112304688
2025-12-16 00:00:00-05:00,52.161949157714844,610.1934204101562
2025-12-17 00:00:00-05:00,49.241355895996094,598.8822631835938
2025-12-18 00:00:00-05:00,51.34457778930664,607.5601196289062
2025-12-19 00:00:00-05:00,53.34812545776367,615.47998046875
2025-12-22 00:00:00-05:00,54.075782775878906,618.4302368164062
