Date,TQQQ,QLD,QQQ
2016-05-09 00:00:00-04:00,1.842174768447876,4.253643989562988,98.6463394165039
2016-05-10 00:00:00-04:00,1.919420599937439,4.370569705963135,99.99727630615234
2016-05-11 00:00:00-04:00,1.8669971227645874,4.293029308319092,99.09353637695312
2016-05-12 00:00:00-04:00,1.8407849073410034,4.253643989562988,98.65565490722656
2016-05-13 00:00:00-04:00,1.8185449838638306,4.224104404449463,98.29228973388672
2016-05-16 00:00:00-04:00,1.888641357421875,4.326261520385742,99.52210235595703
2016-05-17 00:00:00-04:00,1.816162347793579,4.219181537628174,98.27366638183594
2016-05-18 00:00:00-04:00,1.83681321144104,4.248719215393066,98.6277084350586
2016-05-19 00:00:00-04:00,1.8078219890594482,4.2056427001953125,98.1152572631836
2016-05-20 00:00:00-04:00,1.868188500404358,4.294261932373047,99.19603729248047
2016-05-23 00:00:00-04:00,1.859054446220398,4.282569408416748,99.06558227539062
2016-05-24 00:00:00-04:00,1.9728373289108276,4.457342147827148,101.05007934570312
2016-05-25 00:00:00-04:00,2.0153322219848633,4.521342754364014,101.77677917480469
2016-05-26 00:00:00-04:00,2.0322108268737793,4.546574592590332,102.0749282836914
2016-05-27 00:00:00-04:00,2.062791347503662,4.593344688415527,102.60600280761719
2016-05-31 00:00:00-04:00,2.0751023292541504,4.611807346343994,102.80162048339844
2016-06-01 00:00:00-04:00,2.075897216796875,4.60934591293335,102.81094360351562
2016-06-02 00:00:00-04:00,2.087613344192505,4.631499767303467,103.02525329589844
2016-06-03 00:00:00-04:00,2.0590178966522217,4.5859599113464355,102.54076385498047
2016-06-06 00:00:00-04:00,2.0810599327087402,4.617345809936523,102.91343688964844
2016-06-07 00:00:00-04:00,2.066366195678711,4.598885536193848,102.652587890625
2016-06-08 00:00:00-04:00,2.075500011444092,4.61119270324707,102.82958221435547
2016-06-09 00:00:00-04:00,2.066366195678711,4.595191955566406,102.66188049316406
2016-06-10 00:00:00-04:00,1.996864676475525,4.4924187660217285,101.49728393554688
2016-06-13 00:00:00-04:00,1.9456323385238647,4.414264678955078,100.64945220947266
2016-06-14 00:00:00-04:00,1.9466254711151123,4.418571949005127,100.64945220947266
2016-06-15 00:00:00-04:00,1.9291504621505737,4.391493320465088,100.36062622070312
2016-06-16 00:00:00-04:00,1.9430515766143799,4.417956829071045,100.65876007080078
2016-06-17 00:00:00-04:00,1.8765287399291992,4.315799713134766,99.47891998291016
2016-06-20 00:00:00-04:00,1.910286784172058,4.365646839141846,100.10479736328125
2016-06-21 00:00:00-04:00,1.9293495416641235,4.393956184387207,100.42242431640625
2016-06-22 00:00:00-04:00,1.9168394804000854,4.372404098510742,100.1795425415039
2016-06-23 00:00:00-04:00,1.997658371925354,4.495553016662598,101.60880279541016
2016-06-24 00:00:00-04:00,1.7530155181884766,4.130417346954346,97.42375183105469
2016-06-27 00:00:00-04:00,1.6509475708007812,3.9709389209747314,95.49005889892578
2016-06-28 00:00:00-04:00,1.7544052600860596,4.137805461883545,97.5825424194336
2016-06-29 00:00:00-04:00,1.8455510139465332,4.282506465911865,99.31077575683594
2016-06-30 00:00:00-04:00,1.91266930103302,4.381640911102295,100.45978546142578
2016-07-01 00:00:00-04:00,1.938881516456604,4.425357818603516,100.96422576904297
2016-07-05 00:00:00-04:00,1.9045274257659912,4.369942665100098,100.34768676757812
2016-07-06 00:00:00-04:00,1.9494051933288574,4.440752983093262,101.16976928710938
2016-07-07 00:00:00-04:00,1.9678725004196167,4.469076633453369,101.46865844726562
2016-07-08 00:00:00-04:00,2.0588197708129883,4.607001781463623,103.0380630493164
2016-07-11 00:00:00-04:00,2.093968152999878,4.661188125610352,103.62657165527344
2016-07-12 00:00:00-04:00,2.1269302368164062,4.705522060394287,104.14971160888672
2016-07-13 00:00:00-04:00,2.1120376586914062,4.685201644897461,103.89749908447266
2016-07-14 00:00:00-04:00,2.1549298763275146,4.744314670562744,104.60746765136719
2016-07-15 00:00:00-04:00,2.1428170204162598,4.730767726898193,104.43931579589844
2016-07-18 00:00:00-04:00,2.1855103969573975,4.793573379516602,105.1305923461914
2016-07-19 00:00:00-04:00,2.162872552871704,4.75786018371582,104.74760437011719
2016-07-20 00:00:00-04:00,2.236941337585449,4.869926929473877,105.97134399414062
2016-07-21 00:00:00-04:00,2.223637580871582,4.848374843597412,105.72843170166016
2016-07-22 00:00:00-04:00,2.2494513988494873,4.886551856994629,106.16751861572266
2016-07-25 00:00:00-04:00,2.251436710357666,4.889013767242432,106.17687225341797
2016-07-26 00:00:00-04:00,2.2589831352233887,4.9013285636901855,106.29829406738281
2016-07-27 00:00:00-04:00,2.3030660152435303,4.964134693145752,107.0362777709961
2016-07-28 00:00:00-04:00,2.3280866146087646,5.002310276031494,107.40995788574219
2016-07-29 00:00:00-04:00,2.343377113342285,5.021399974822998,107.64350891113281
2016-08-01 00:00:00-04:00,2.380112648010254,5.073737621307373,108.21332550048828
2016-08-02 00:00:00-04:00,2.326498031616211,4.996769428253174,107.39126586914062
2016-08-03 00:00:00-04:00,2.3485398292541504,5.031867027282715,107.74624633789062
2016-08-04 00:00:00-04:00,2.369589328765869,5.059576034545898,108.05453491210938
2016-08-05 00:00:00-04:00,2.4380974769592285,5.155632019042969,109.0914535522461
2016-08-08 00:00:00-04:00,2.4303531646728516,5.145779609680176,108.97000122070312
2016-08-09 00:00:00-04:00,2.4464378356933594,5.169177532196045,109.22219848632812
2016-08-10 00:00:00-04:00,2.4275729656219482,5.142701148986816,108.94196319580078
2016-08-11 00:00:00-04:00,2.4589481353759766,5.185803413391113,109.40904998779297
2016-08-12 00:00:00-04:00,2.4635140895843506,5.1925764083862305,109.4837875366211
2016-08-15 00:00:00-04:00,2.4944920539855957,5.236911773681641,109.95088195800781
2016-08-16 00:00:00-04:00,2.455174207687378,5.1796464920043945,109.34367370605469
2016-08-17 00:00:00-04:00,2.4666929244995117,5.19503927230835,109.53984069824219
2016-08-18 00:00:00-04:00,2.4690747261047363,5.199965476989746,109.56787872314453
2016-08-19 00:00:00-04:00,2.465698719024658,5.19565486907959,109.53984069824219
2016-08-22 00:00:00-04:00,2.4680817127227783,5.201813220977783,109.62393188476562
2016-08-23 00:00:00-04:00,2.482776403427124,5.219668865203857,109.8200912475586
2016-08-24 00:00:00-04:00,2.434919595718384,5.151321887969971,109.11013793945312
2016-08-25 00:00:00-04:00,2.4234023094177246,5.13408088684082,108.93263244628906
2016-08-26 00:00:00-04:00,2.4351189136505127,5.150090217590332,109.0914535522461
2016-08-29 00:00:00-04:00,2.4418697357177734,5.164867877960205,109.24090576171875
2016-08-30 00:00:00-04:00,2.419827699661255,5.131002902984619,108.88593292236328
2016-08-31 00:00:00-04:00,2.413473606109619,5.117455959320068,108.77381134033203
2016-09-01 00:00:00-04:00,2.424196720123291,5.143933296203613,109.05408477783203
2016-09-02 00:00:00-04:00,2.4525933265686035,5.176567077636719,109.40904998779297
2016-09-06 00:00:00-04:00,2.498065948486328,5.241835594177246,110.09097290039062
2016-09-07 00:00:00-04:00,2.502633810043335,5.250456809997559,110.1563949584961
2016-09-08 00:00:00-04:00,2.4597418308258057,5.1870341300964355,109.51183319091797
2016-09-09 00:00:00-04:00,2.273280382156372,4.924112796783447,106.75604248046875
2016-09-12 00:00:00-04:00,2.3898444175720215,5.098367214202881,108.67107391357422
2016-09-13 00:00:00-04:00,2.3334484100341797,5.010931968688965,107.69953918457031
2016-09-14 00:00:00-04:00,2.3634328842163086,5.061422824859619,108.21332550048828
2016-09-15 00:00:00-04:00,2.473046064376831,5.21782112121582,109.89482879638672
2016-09-16 00:00:00-04:00,2.470266580581665,5.2110490798950195,109.8423843383789
2016-09-19 00:00:00-04:00,2.4378983974456787,5.164252281188965,109.3647689819336
2016-09-20 00:00:00-04:00,2.451401710510254,5.183339595794678,109.57080078125
2016-09-21 00:00:00-04:00,2.5226898193359375,5.2837066650390625,110.64777374267578
2016-09-22 00:00:00-04:00,2.581666946411133,5.369910717010498,111.52808380126953
2016-09-23 00:00:00-04:00,2.535200357437134,5.299715995788574,110.81636047363281
2016-09-26 00:00:00-04:00,2.4722518920898438,5.2122802734375,109.88919830322266
2016-09-27 00:00:00-04:00,2.542349100112915,5.313262939453125,110.97555541992188
2016-09-28 00:00:00-04:00,2.556248903274536,5.333581924438477,111.16285705566406
2016-09-29 00:00:00-04:00,2.50203800201416,5.252919673919678,110.35745239257812
2016-09-30 00:00:00-04:00,2.5534682273864746,5.3286566734313965,111.18157196044922
2016-10-03 00:00:00-04:00,2.5477101802825928,5.315725803375244,111.02236938476562
2016-10-04 00:00:00-04:00,2.5332136154174805,5.301563262939453,110.85379791259766
2016-10-05 00:00:00-04:00,2.5596249103546143,5.3366618156433105,111.24715423583984
2016-10-06 00:00:00-04:00,2.5556535720825195,5.332965850830078,111.1909408569336
