Date,QQQ,TQQQ,QLD
2016-05-09 00:00:00-04:00,98.64633178710938,1.842174768447876,4.253645420074463
2016-05-10 00:00:00-04:00,99.99726867675781,1.9194207191467285,4.370569229125977
2016-05-11 00:00:00-04:00,99.0935287475586,1.8669968843460083,4.29302978515625
2016-05-12 00:00:00-04:00,98.6556625366211,1.840785026550293,4.253645420074463
2016-05-13 00:00:00-04:00,98.29230499267578,1.8185451030731201,4.224104881286621
2016-05-16 00:00:00-04:00,99.5221176147461,1.888641357421875,4.3262619972229
2016-05-17 00:00:00-04:00,98.273681640625,1.816162109375,4.219181537628174
2016-05-18 00:00:00-04:00,98.6277084350586,1.8368134498596191,4.248722076416016
2016-05-19 00:00:00-04:00,98.11526489257812,1.8078222274780273,4.205642223358154
2016-05-20 00:00:00-04:00,99.1960220336914,1.868188738822937,4.2942585945129395
2016-05-23 00:00:00-04:00,99.06558990478516,1.8590542078018188,4.28256893157959
2016-05-24 00:00:00-04:00,101.05007934570312,1.9728378057479858,4.457342624664307
2016-05-25 00:00:00-04:00,101.77677917480469,2.015331983566284,4.52134370803833
2016-05-26 00:00:00-04:00,102.07490539550781,2.0322105884552,4.546575546264648
2016-05-27 00:00:00-04:00,102.60595703125,2.062791347503662,4.5933451652526855
2016-05-31 00:00:00-04:00,102.80162811279297,2.0751025676727295,4.611806869506836
2016-06-01 00:00:00-04:00,102.81095886230469,2.075897693634033,4.609346389770508
2016-06-02 00:00:00-04:00,103.02523040771484,2.0876128673553467,4.631499767303467
2016-06-03 00:00:00-04:00,102.540771484375,2.059018135070801,4.585960865020752
2016-06-06 00:00:00-04:00,102.91341400146484,2.0810599327087402,4.617345809936523
2016-06-07 00:00:00-04:00,102.65255737304688,2.066366195678711,4.598883152008057
2016-06-08 00:00:00-04:00,102.82958221435547,2.07550048828125,4.611191272735596
2016-06-09 00:00:00-04:00,102.6618881225586,2.066366195678711,4.59519100189209
2016-06-10 00:00:00-04:00,101.49727630615234,1.9968647956848145,4.492419242858887
2016-06-13 00:00:00-04:00,100.64945220947266,1.9456322193145752,4.41426420211792
2016-06-14 00:00:00-04:00,100.64945220947266,1.9466257095336914,4.418570518493652
2016-06-15 00:00:00-04:00,100.36060333251953,1.9291503429412842,4.391494274139404
