Date,SPY
2020-01-02 00:00:00-05:00,296.8880920410156
2020-01-03 00:00:00-05:00,294.6401672363281
2020-01-06 00:00:00-05:00,295.76409912109375
2020-01-07 00:00:00-05:00,294.9324951171875
2020-01-08 00:00:00-05:00,296.5043640136719
2020-01-09 00:00:00-05:00,298.51483154296875
2020-01-10 00:00:00-05:00,297.6557922363281
2020-01-13 00:00:00-05:00,299.7029724121094
2020-01-14 00:00:00-05:00,299.2460021972656
2020-01-15 00:00:00-05:00,299.9222717285156
2020-01-16 00:00:00-05:00,302.41705322265625
2020-01-17 00:00:00-05:00,303.3583679199219
2020-01-21 00:00:00-05:00,302.7642517089844
2020-01-22 00:00:00-05:00,302.8009338378906
2020-01-23 00:00:00-05:00,303.1481628417969
2020-01-24 00:00:00-05:00,300.45233154296875
2020-01-27 00:00:00-05:00,295.63623046875
2020-01-28 00:00:00-05:00,298.7342529296875
2020-01-29 00:00:00-05:00,298.4873962402344
2020-01-30 00:00:00-05:00,299.45611572265625
2020-01-31 00:00:00-05:00,294.01861572265625
2020-02-03 00:00:00-05:00,296.2027893066406
2020-02-04 00:00:00-05:00,300.7172546386719
2020-02-05 00:00:00-05:00,304.1900329589844
2020-02-06 00:00:00-05:00,305.2135314941406
2020-02-07 00:00:00-05:00,303.5868225097656
2020-02-10 00:00:00-05:00,305.85321044921875
2020-02-11 00:00:00-05:00,306.3832092285156
2020-02-12 00:00:00-05:00,308.3572692871094
2020-02-13 00:00:00-05:00,308.0281982421875
2020-02-14 00:00:00-05:00,308.5216979980469
2020-02-18 00:00:00-05:00,307.7266540527344
2020-02-19 00:00:00-05:00,309.1979064941406
2020-02-20 00:00:00-05:00,307.927734375
2020-02-21 00:00:00-05:00,304.75653076171875
2020-02-24 00:00:00-05:00,294.6492004394531
2020-02-25 00:00:00-05:00,285.720703125
2020-02-26 00:00:00-05:00,284.6697692871094
2020-02-27 00:00:00-05:00,271.88482666015625
2020-02-28 00:00:00-05:00,270.7423400878906
2020-03-02 00:00:00-05:00,282.46734619140625
2020-03-03 00:00:00-05:00,274.3796081542969
2020-03-04 00:00:00-05:00,285.9126281738281
2020-03-05 00:00:00-05:00,276.40850830078125
2020-03-06 00:00:00-05:00,271.83905029296875
2020-03-09 00:00:00-04:00,250.61001586914062
2020-03-10 00:00:00-04:00,263.57769775390625
2020-03-11 00:00:00-04:00,250.72866821289062
2020-03-12 00:00:00-04:00,226.7397003173828
2020-03-13 00:00:00-04:00,246.1228485107422
2020-03-16 00:00:00-04:00,219.191162109375
2020-03-17 00:00:00-04:00,231.02572631835938
2020-03-18 00:00:00-04:00,219.3282470703125
2020-03-19 00:00:00-04:00,219.7943115234375
2020-03-20 00:00:00-04:00,210.32240295410156
2020-03-23 00:00:00-04:00,204.94485473632812
2020-03-24 00:00:00-04:00,223.51356506347656
2020-03-25 00:00:00-04:00,226.85960388183594
2020-03-26 00:00:00-04:00,240.10589599609375
2020-03-27 00:00:00-04:00,232.95419311523438
2020-03-30 00:00:00-04:00,240.51951599121094
2020-03-31 00:00:00-04:00,236.93446350097656
2020-04-01 00:00:00-04:00,226.27127075195312
2020-04-02 00:00:00-04:00,231.49256896972656
2020-04-03 00:00:00-04:00,228.1465606689453
2020-04-06 00:00:00-04:00,243.4702606201172
2020-04-07 00:00:00-04:00,243.71847534179688
2020-04-08 00:00:00-04:00,251.89974975585938
2020-04-09 00:00:00-04:00,255.73294067382812
2020-04-13 00:00:00-04:00,253.39808654785156
2020-04-14 00:00:00-04:00,260.87152099609375
2020-04-15 00:00:00-04:00,255.32852172851562
2020-04-16 00:00:00-04:00,256.56024169921875
2020-04-17 00:00:00-04:00,263.4914245605469
2020-04-20 00:00:00-04:00,258.8491516113281
2020-04-21 00:00:00-04:00,250.98971557617188
2020-04-22 00:00:00-04:00,256.56024169921875
2020-04-23 00:00:00-04:00,256.54180908203125
2020-04-24 00:00:00-04:00,260.1177673339844
2020-04-27 00:00:00-04:00,263.86834716796875
2020-04-28 00:00:00-04:00,262.6548767089844
2020-04-29 00:00:00-04:00,269.5308837890625
2020-04-30 00:00:00-04:00,267.021240234375
2020-05-01 00:00:00-04:00,259.9523620605469
2020-05-04 00:00:00-04:00,260.6692810058594
2020-05-05 00:00:00-04:00,263.0777893066406
2020-05-06 00:00:00-04:00,261.29437255859375
2020-05-07 00:00:00-04:00,264.4473876953125
2020-05-08 00:00:00-04:00,268.822998046875
2020-05-11 00:00:00-04:00,268.87811279296875
2020-05-12 00:00:00-04:00,263.5189208984375
2020-05-13 00:00:00-04:00,258.85833740234375
2020-05-14 00:00:00-04:00,261.95623779296875
2020-05-15 00:00:00-04:00,263.1605529785156
2020-05-18 00:00:00-04:00,271.17626953125
2020-05-19 00:00:00-04:00,268.3908996582031
2020-05-20 00:00:00-04:00,272.9503173828125
2020-05-21 00:00:00-04:00,271.06591796875
2020-05-22 00:00:00-04:00,271.5806884765625
2020-05-26 00:00:00-04:00,274.9267578125
2020-05-27 00:00:00-04:00,279.0173034667969
2020-05-28 00:00:00-04:00,278.5025634765625
2020-05-29 00:00:00-04:00,279.74359130859375
2020-06-01 00:00:00-04:00,280.8741455078125
2020-06-02 00:00:00-04:00,283.19989013671875
2020-06-03 00:00:00-04:00,286.96881103515625
2020-06-04 00:00:00-04:00,286.21502685546875
2020-06-05 00:00:00-04:00,293.550537109375
2020-06-08 00:00:00-04:00,297.0989074707031
2020-06-09 00:00:00-04:00,294.8834533691406
2020-06-10 00:00:00-04:00,293.238037109375
2020-06-11 00:00:00-04:00,276.3331604003906
2020-06-12 00:00:00-04:00,279.6423645019531
2020-06-15 00:00:00-04:00,282.2530822753906
2020-06-16 00:00:00-04:00,287.68585205078125
2020-06-17 00:00:00-04:00,286.49078369140625
2020-06-18 00:00:00-04:00,286.60113525390625
2020-06-19 00:00:00-04:00,284.963134765625
2020-06-22 00:00:00-04:00,286.791259765625
2020-06-23 00:00:00-04:00,288.111572265625
2020-06-24 00:00:00-04:00,280.76220703125
2020-06-25 00:00:00-04:00,283.772216796875
2020-06-26 00:00:00-04:00,277.0321960449219
2020-06-29 00:00:00-04:00,281.1037902832031
2020-06-30 00:00:00-04:00,284.7047119140625
2020-07-01 00:00:00-04:00,286.69903564453125
2020-07-02 00:00:00-04:00,288.2777404785156
2020-07-06 00:00:00-04:00,292.72802734375
2020-07-07 00:00:00-04:00,289.7088928222656
2020-07-08 00:00:00-04:00,291.92486572265625
2020-07-09 00:00:00-04:00,290.26287841796875
2020-07-10 00:00:00-04:00,293.22662353515625
2020-07-13 00:00:00-04:00,290.6875915527344
2020-07-14 00:00:00-04:00,294.4546203613281
2020-07-15 00:00:00-04:00,297.1597595214844
2020-07-16 00:00:00-04:00,296.1811828613281
2020-07-17 00:00:00-04:00,297.039794921875
2020-07-20 00:00:00-04:00,299.4403076171875
