Date,QQQ,QLD,TQQQ
2016-05-06 00:00:00-04:00,98.3668441772461,4.231490612030029,1.8260904550552368
2016-05-09 00:00:00-04:00,98.6463394165039,4.2536444664001465,1.842174768447876
2016-05-10 00:00:00-04:00,99.99726867675781,4.370570182800293,1.9194207191467285
2016-05-11 00:00:00-04:00,99.09355163574219,4.29302978515625,1.8669970035552979
2016-05-12 00:00:00-04:00,98.6556396484375,4.2536444664001465,1.8407851457595825
2016-05-13 00:00:00-04:00,98.29228973388672,4.2241058349609375,1.8185454607009888
2016-05-16 00:00:00-04:00,99.52210998535156,4.326263904571533,1.8886412382125854
2016-05-17 00:00:00-04:00,98.273681640625,4.219182014465332,1.8161624670028687
2016-05-18 00:00:00-04:00,98.62769317626953,4.248720645904541,1.8368133306503296
2016-05-19 00:00:00-04:00,98.11527252197266,4.205643177032471,1.8078222274780273
2016-05-20 00:00:00-04:00,99.19603729248047,4.2942609786987305,1.8681883811950684
2016-05-23 00:00:00-04:00,99.06559753417969,4.282567501068115,1.8590543270111084
2016-05-24 00:00:00-04:00,101.05005645751953,4.45734167098999,1.9728378057479858
2016-05-25 00:00:00-04:00,101.77677154541016,4.521343231201172,2.015331506729126
2016-05-26 00:00:00-04:00,102.07492065429688,4.546574592590332,2.0322105884552
2016-05-27 00:00:00-04:00,102.60595703125,4.5933451652526855,2.062791347503662
2016-05-31 00:00:00-04:00,102.80162048339844,4.611807823181152,2.0751030445098877
2016-06-01 00:00:00-04:00,102.81094360351562,4.609344482421875,2.075897216796875
2016-06-02 00:00:00-04:00,103.02523040771484,4.631500244140625,2.0876126289367676
2016-06-03 00:00:00-04:00,102.54074096679688,4.585960388183594,2.0590178966522217
2016-06-06 00:00:00-04:00,102.91342163085938,4.617345809936523,2.0810601711273193
2016-06-07 00:00:00-04:00,102.65255737304688,4.598883628845215,2.06636643409729
2016-06-08 00:00:00-04:00,102.82958221435547,4.611191749572754,2.0754997730255127
2016-06-09 00:00:00-04:00,102.6618881225586,4.595191955566406,2.06636643409729
2016-06-10 00:00:00-04:00,101.49726867675781,4.492419719696045,1.9968644380569458
2016-06-13 00:00:00-04:00,100.64945983886719,4.41426420211792,1.9456324577331543
2016-06-14 00:00:00-04:00,100.64945983886719,4.418571472167969,1.9466257095336914
2016-06-15 00:00:00-04:00,100.36061096191406,4.391494274139404,1.9291507005691528
2016-06-16 00:00:00-04:00,100.65876007080078,4.41795539855957,1.9430512189865112
2016-06-17 00:00:00-04:00,99.4789047241211,4.315799236297607,1.8765286207199097
2016-06-20 00:00:00-04:00,100.10482025146484,4.3656463623046875,1.910286545753479
2016-06-21 00:00:00-04:00,100.42241668701172,4.393955707550049,1.9293495416641235
2016-06-22 00:00:00-04:00,100.17951202392578,4.3724045753479,1.916839361190796
2016-06-23 00:00:00-04:00,101.60879516601562,4.495553970336914,1.9976587295532227
2016-06-24 00:00:00-04:00,97.42376708984375,4.130417346954346,1.7530155181884766
2016-06-27 00:00:00-04:00,95.49005889892578,3.970938205718994,1.6509478092193604
2016-06-28 00:00:00-04:00,97.58260345458984,4.137805461883545,1.7544052600860596
2016-06-29 00:00:00-04:00,99.31074523925781,4.282505035400391,1.8455508947372437
2016-06-30 00:00:00-04:00,100.45978546142578,4.381640434265137,1.9126694202423096
2016-07-01 00:00:00-04:00,100.96422576904297,4.425357818603516,1.9388813972473145
2016-07-05 00:00:00-04:00,100.34770202636719,4.369940757751465,1.9045275449752808
2016-07-06 00:00:00-04:00,101.16975402832031,4.440751552581787,1.949405312538147
2016-07-07 00:00:00-04:00,101.46866607666016,4.469076633453369,1.9678723812103271
2016-07-08 00:00:00-04:00,103.03809356689453,4.607003688812256,2.0588202476501465
2016-07-11 00:00:00-04:00,103.6265869140625,4.661188125610352,2.0939676761627197
2016-07-12 00:00:00-04:00,104.14971160888672,4.705523490905762,2.1269307136535645
2016-07-13 00:00:00-04:00,103.89753723144531,4.685202121734619,2.112037181854248
2016-07-14 00:00:00-04:00,104.60746765136719,4.744314670562744,2.1549296379089355
2016-07-15 00:00:00-04:00,104.43931579589844,4.73076868057251,2.1428167819976807
2016-07-18 00:00:00-04:00,105.130615234375,4.793573379516602,2.1855103969573975
2016-07-19 00:00:00-04:00,104.74758911132812,4.75786018371582,2.1628730297088623
2016-07-20 00:00:00-04:00,105.97135925292969,4.869925498962402,2.23694109916687
2016-07-21 00:00:00-04:00,105.72847747802734,4.848374366760254,2.223637580871582
2016-07-22 00:00:00-04:00,106.16751861572266,4.8865509033203125,2.249450922012329
2016-07-25 00:00:00-04:00,106.17686462402344,4.88901424407959,2.251436471939087
2016-07-26 00:00:00-04:00,106.29830169677734,4.901329040527344,2.2589826583862305
2016-07-27 00:00:00-04:00,107.03631591796875,4.96413516998291,2.3030664920806885
2016-07-28 00:00:00-04:00,107.40995788574219,5.002311706542969,2.328087091445923
2016-07-29 00:00:00-04:00,107.64350128173828,5.021398544311523,2.3433775901794434
2016-08-01 00:00:00-04:00,108.21333312988281,5.0737385749816895,2.380113124847412
2016-08-02 00:00:00-04:00,107.39125061035156,4.99677038192749,2.3264975547790527
2016-08-03 00:00:00-04:00,107.74625396728516,5.031867027282715,2.348539352416992
2016-08-04 00:00:00-04:00,108.05453491210938,5.059576034545898,2.3695895671844482
2016-08-05 00:00:00-04:00,109.0914535522461,5.155632495880127,2.4380977153778076
2016-08-08 00:00:00-04:00,108.97001647949219,5.145779609680176,2.4303529262542725
2016-08-09 00:00:00-04:00,109.22222900390625,5.169178009033203,2.446437358856201
2016-08-10 00:00:00-04:00,108.94197082519531,5.142700672149658,2.427572727203369
2016-08-11 00:00:00-04:00,109.4090805053711,5.185802459716797,2.45894718170166
2016-08-12 00:00:00-04:00,109.48381805419922,5.192576885223389,2.4635138511657715
2016-08-15 00:00:00-04:00,109.95088195800781,5.236910343170166,2.494492292404175
2016-08-16 00:00:00-04:00,109.34363555908203,5.179645538330078,2.455173969268799
2016-08-17 00:00:00-04:00,109.53984832763672,5.195039749145508,2.4666922092437744
2016-08-18 00:00:00-04:00,109.5678939819336,5.199965476989746,2.4690744876861572
2016-08-19 00:00:00-04:00,109.53984832763672,5.195655822753906,2.465698719024658
2016-08-22 00:00:00-04:00,109.62393188476562,5.201812744140625,2.468081474304199
2016-08-23 00:00:00-04:00,109.82011413574219,5.219668865203857,2.4827768802642822
2016-08-24 00:00:00-04:00,109.1101303100586,5.151322841644287,2.434919834136963
2016-08-25 00:00:00-04:00,108.9326400756836,5.134080410003662,2.4234020709991455
2016-08-26 00:00:00-04:00,109.0914535522461,5.150090217590332,2.4351184368133545
2016-08-29 00:00:00-04:00,109.24090576171875,5.164868354797363,2.4418699741363525
2016-08-30 00:00:00-04:00,108.88592529296875,5.131002426147461,2.419828414916992
2016-08-31 00:00:00-04:00,108.77384185791016,5.11745548248291,2.413473129272461
2016-09-01 00:00:00-04:00,109.05406188964844,5.143932819366455,2.424196720123291
2016-09-02 00:00:00-04:00,109.4090805053711,5.176566123962402,2.4525935649871826
2016-09-06 00:00:00-04:00,110.09098815917969,5.241836071014404,2.4980664253234863
2016-09-07 00:00:00-04:00,110.1563949584961,5.2504563331604,2.502633571624756
2016-09-08 00:00:00-04:00,109.51180267333984,5.187035083770752,2.459742307662964
2016-09-09 00:00:00-04:00,106.75605010986328,4.924111843109131,2.273280382156372
2016-09-12 00:00:00-04:00,108.67106628417969,5.098367691040039,2.3898441791534424
2016-09-13 00:00:00-04:00,107.69953155517578,5.010932445526123,2.3334476947784424
2016-09-14 00:00:00-04:00,108.21333312988281,5.061422824859619,2.363433361053467
2016-09-15 00:00:00-04:00,109.89480590820312,5.217822074890137,2.473045825958252
2016-09-16 00:00:00-04:00,109.84239196777344,5.211048603057861,2.470266103744507
2016-09-19 00:00:00-04:00,109.36478424072266,5.164252758026123,2.4378981590270996
2016-09-20 00:00:00-04:00,109.57080841064453,5.183340549468994,2.4514012336730957
2016-09-21 00:00:00-04:00,110.64776611328125,5.283706188201904,2.5226895809173584
2016-09-22 00:00:00-04:00,111.528076171875,5.36991024017334,2.5816667079925537
2016-09-23 00:00:00-04:00,110.81632995605469,5.299715995788574,2.535200357437134
2016-09-26 00:00:00-04:00,109.88920593261719,5.2122802734375,2.4722516536712646
2016-09-27 00:00:00-04:00,110.97553253173828,5.31326150894165,2.542349338531494
2016-09-28 00:00:00-04:00,111.16282653808594,5.333581447601318,2.5562491416931152
2016-09-29 00:00:00-04:00,110.35748291015625,5.2529191970825195,2.50203800201416
2016-09-30 00:00:00-04:00,111.18156433105469,5.328655242919922,2.5534684658050537
2016-10-03 00:00:00-04:00,111.02240753173828,5.315725803375244,2.547710657119751
2016-10-04 00:00:00-04:00,110.85381317138672,5.301562786102295,2.5332143306732178
2016-10-05 00:00:00-04:00,111.24713897705078,5.336660385131836,2.5596256256103516
2016-10-06 00:00:00-04:00,111.19094848632812,5.332966327667236,2.5556535720825195
2016-10-07 00:00:00-04:00,110.94747161865234,5.308952331542969,2.5389723777770996
2016-10-10 00:00:00-04:00,111.64984130859375,5.372375011444092,2.5844461917877197
2016-10-11 00:00:00-04:00,110.05774688720703,5.217822074890137,2.477613925933838
2016-10-12 00:00:00-04:00,109.96412658691406,5.214128494262695,2.472450017929077
2016-10-13 00:00:00-04:00,109.57080841064453,5.176566123962402,2.4434585571289062
2016-10-14 00:00:00-04:00,109.70193481445312,5.184570789337158,2.449018716812134
2016-10-17 00:00:00-04:00,109.40223693847656,5.158095359802246,2.432140588760376
2016-10-18 00:00:00-04:00,110.37619018554688,5.249226093292236,2.494492292404175
2016-10-19 00:00:00-04:00,110.36681365966797,5.2461466789245605,2.4954850673675537
2016-10-20 00:00:00-04:00,110.23571014404297,5.236294746398926,2.4849605560302734
2016-10-21 00:00:00-04:00,110.64776611328125,5.275702476501465,2.5119669437408447
2016-10-24 00:00:00-04:00,111.9776382446289,5.40192985534668,2.6035094261169434
2016-10-25 00:00:00-04:00,111.62173461914062,5.3643693923950195,2.57749605178833
2016-10-26 00:00:00-04:00,110.86317443847656,5.294789791107178,2.5280516147613525
2016-10-27 00:00:00-04:00,110.35748291015625,5.2479939460754395,2.4927048683166504
2016-10-28 00:00:00-04:00,109.66447448730469,5.175334453582764,2.4496142864227295
2016-10-31 00:00:00-04:00,109.5614013671875,5.165482997894287,2.4357142448425293
2016-11-01 00:00:00-04:00,108.7373275756836,5.09159517288208,2.3856735229492188
2016-11-02 00:00:00-04:00,107.8663558959961,5.007236480712891,2.323518991470337
2016-11-03 00:00:00-04:00,106.8081283569336,4.91118049621582,2.2566003799438477
2016-11-04 00:00:00-04:00,106.43350982666016,4.873621463775635,2.2309834957122803
2016-11-07 00:00:00-05:00,108.96204376220703,5.109450817108154,2.390836238861084
2016-11-08 00:00:00-05:00,109.6738052368164,5.175334453582764,2.437699556350708
2016-11-09 00:00:00-05:00,110.17952728271484,5.219052791595459,2.4718546867370605
2016-11-10 00:00:00-05:00,108.4001693725586,5.04972505569458,2.3542988300323486
