Date,TQQQ,QQQ,QLD
2016-05-09 00:00:00-04:00,1.842174768447876,98.64633178710938,4.253645896911621
2016-05-10 00:00:00-04:00,1.9194207191467285,99.99728393554688,4.370569705963135
2016-05-11 00:00:00-04:00,1.8669971227645874,99.09353637695312,4.293029308319092
2016-05-12 00:00:00-04:00,1.8407851457595825,98.65567016601562,4.253645896911621
2016-05-13 00:00:00-04:00,1.8185452222824097,98.29230499267578,4.224103927612305
2016-05-16 00:00:00-04:00,1.8886412382125854,99.52210998535156,4.326261520385742
2016-05-17 00:00:00-04:00,1.8161622285842896,98.2736587524414,4.21918249130249
2016-05-18 00:00:00-04:00,1.8368134498596191,98.62770080566406,4.248721599578857
2016-05-19 00:00:00-04:00,1.8078222274780273,98.11528015136719,4.205642223358154
2016-05-20 00:00:00-04:00,1.868188738822937,99.19602966308594,4.294259548187256
2016-05-23 00:00:00-04:00,1.8590543270111084,99.06562042236328,4.282567977905273
2016-05-24 00:00:00-04:00,1.972838044166565,101.05006408691406,4.457342147827148
2016-05-25 00:00:00-04:00,2.0153322219848633,101.77677154541016,4.521343231201172
2016-05-26 00:00:00-04:00,2.032210350036621,102.0749282836914,4.54657506942749
2016-05-27 00:00:00-04:00,2.0627918243408203,102.60597229003906,4.59334659576416
2016-05-31 00:00:00-04:00,2.0751028060913086,102.80160522460938,4.6118059158325195
2016-06-01 00:00:00-04:00,2.0758979320526123,102.81095123291016,4.609346866607666
2016-06-02 00:00:00-04:00,2.0876128673553467,103.0252456665039,4.631499290466309
2016-06-03 00:00:00-04:00,2.05901837348938,102.5407485961914,4.585960388183594
2016-06-06 00:00:00-04:00,2.0810599327087402,102.91344451904297,4.617344856262207
2016-06-07 00:00:00-04:00,2.06636643409729,102.65257263183594,4.598883628845215
2016-06-08 00:00:00-04:00,2.075500249862671,102.82958221435547,4.611192226409912
2016-06-09 00:00:00-04:00,2.06636643409729,102.661865234375,4.595191478729248
2016-06-10 00:00:00-04:00,1.9968645572662354,101.49726104736328,4.492420196533203
2016-06-13 00:00:00-04:00,1.9456326961517334,100.64945983886719,4.414264678955078
2016-06-14 00:00:00-04:00,1.9466257095336914,100.64945983886719,4.418572425842285
2016-06-15 00:00:00-04:00,1.9291503429412842,100.36062622070312,4.3914947509765625
2016-06-16 00:00:00-04:00,1.9430516958236694,100.65877532958984,4.4179558753967285
2016-06-17 00:00:00-04:00,1.8765283823013306,99.47895050048828,4.315799236297607
2016-06-20 00:00:00-04:00,1.9102864265441895,100.10478973388672,4.365646839141846
2016-06-21 00:00:00-04:00,1.9293498992919922,100.42242431640625,4.393955230712891
2016-06-22 00:00:00-04:00,1.9168397188186646,100.17953491210938,4.372403144836426
2016-06-23 00:00:00-04:00,1.9976587295532227,101.60881042480469,4.495553016662598
2016-06-24 00:00:00-04:00,1.7530155181884766,97.42375183105469,4.130415916442871
2016-06-27 00:00:00-04:00,1.6509478092193604,95.49005126953125,3.9709389209747314
2016-06-28 00:00:00-04:00,1.75440514087677,97.58256530761719,4.137805461883545
2016-06-29 00:00:00-04:00,1.8455511331558228,99.31075286865234,4.282505989074707
2016-06-30 00:00:00-04:00,1.9126695394515991,100.45977020263672,4.381640434265137
2016-07-01 00:00:00-04:00,1.9388810396194458,100.9642333984375,4.425358295440674
2016-07-05 00:00:00-04:00,1.9045277833938599,100.34772491455078,4.369941711425781
2016-07-06 00:00:00-04:00,1.9494051933288574,101.16975402832031,4.440752029418945
2016-07-07 00:00:00-04:00,1.9678725004196167,101.46868896484375,4.469076156616211
2016-07-08 00:00:00-04:00,2.0588200092315674,103.0380859375,4.607003211975098
2016-07-11 00:00:00-04:00,2.0939674377441406,103.62657928466797,4.661189079284668
2016-07-12 00:00:00-04:00,2.126929998397827,104.14973449707031,4.705522060394287
2016-07-13 00:00:00-04:00,2.112036943435669,103.89750671386719,4.685202598571777
2016-07-14 00:00:00-04:00,2.1549293994903564,104.60746002197266,4.744314193725586
2016-07-15 00:00:00-04:00,2.1428163051605225,104.43930053710938,4.730768203735352
2016-07-18 00:00:00-04:00,2.1855108737945557,105.13062286376953,4.793573379516602
2016-07-19 00:00:00-04:00,2.1628732681274414,104.74758911132812,4.757859230041504
2016-07-20 00:00:00-04:00,2.23694109916687,105.97134399414062,4.869925498962402
2016-07-21 00:00:00-04:00,2.223637580871582,105.72846984863281,4.848374843597412
2016-07-22 00:00:00-04:00,2.249451160430908,106.1675033569336,4.886551856994629
2016-07-25 00:00:00-04:00,2.251437187194824,106.17687225341797,4.889015197753906
2016-07-26 00:00:00-04:00,2.2589831352233887,106.29833984375,4.901329040527344
2016-07-27 00:00:00-04:00,2.3030664920806885,107.03629302978516,4.964137077331543
2016-07-28 00:00:00-04:00,2.3280866146087646,107.4099349975586,5.002310276031494
2016-07-29 00:00:00-04:00,2.3433778285980225,107.64349365234375,5.02139949798584
2016-08-01 00:00:00-04:00,2.380112886428833,108.21331787109375,5.073739051818848
2016-08-02 00:00:00-04:00,2.326498031616211,107.39126586914062,4.996768474578857
2016-08-03 00:00:00-04:00,2.348539352416992,107.7462387084961,5.031867027282715
