Date,QQQ,TQQQ,QLD
2019-01-02 00:00:00-05:00,148.0408935546875,4.48231315612793,8.349204063415527
2019-01-03 00:00:00-05:00,143.20431518554688,4.04803991317749,7.789218902587891
2019-01-04 00:00:00-05:00,149.33126831054688,4.565825939178467,8.487348556518555
2019-01-07 00:00:00-05:00,151.1090850830078,4.711378574371338,8.658798217773438
2019-01-08 00:00:00-05:00,152.4759521484375,4.847386837005615,8.8314790725708
2019-01-09 00:00:00-05:00,153.71856689453125,4.961921215057373,8.963460922241211
2019-01-10 00:00:00-05:00,154.15826416015625,5.009644031524658,9.0090970993042
2019-01-11 00:00:00-05:00,153.59426879882812,4.949990749359131,8.954827308654785
2019-01-14 00:00:00-05:00,152.23699951171875,4.821140766143799,8.792011260986328
2019-01-15 00:00:00-05:00,155.20965576171875,5.088384628295898,9.138609886169434
2019-01-16 00:00:00-05:00,155.1809844970703,5.095542907714844,9.136141777038574
2019-01-17 00:00:00-05:00,156.40447998046875,5.214849472045898,9.265657424926758
2019-01-18 00:00:00-05:00,157.9529266357422,5.358015537261963,9.4457368850708
2019-01-22 00:00:00-05:00,154.7890625,5.06213903427124,9.085573196411133
2019-01-23 00:00:00-05:00,154.9898223876953,5.066910743713379,9.096673011779785
2019-01-24 00:00:00-05:00,155.99343872070312,5.156388759613037,9.20644760131836
2019-01-25 00:00:00-05:00,157.85736083984375,5.3401198387146,9.438338279724121
2019-01-28 00:00:00-05:00,155.90744018554688,5.143265247344971,9.19658088684082
2019-01-29 00:00:00-05:00,154.4354248046875,4.997713565826416,9.016499519348145
2019-01-30 00:00:00-05:00,158.36392211914062,5.372332572937012,9.492609977722168
2019-01-31 00:00:00-05:00,160.73443603515625,5.608557224273682,9.765201568603516
2019-02-01 00:00:00-05:00,160.05575561523438,5.5369744300842285,9.67516040802002
2019-02-04 00:00:00-05:00,162.0439453125,5.73979377746582,9.913214683532715
2019-02-05 00:00:00-05:00,163.47772216796875,5.891312599182129,10.092063903808594
2019-02-06 00:00:00-05:00,162.99020385742188,5.844783306121826,10.025457382202148
2019-02-07 00:00:00-05:00,160.8013458251953,5.606171131134033,9.755332946777344
2019-02-08 00:00:00-05:00,161.11676025390625,5.634805679321289,9.78616714477539
2019-02-11 00:00:00-05:00,160.9638214111328,5.6216816902160645,9.773834228515625
2019-02-12 00:00:00-05:00,163.3438720703125,5.86506462097168,10.066162109375
2019-02-13 00:00:00-05:00,163.4585723876953,5.87699556350708,10.072328567504883
2019-02-14 00:00:00-05:00,163.65931701660156,5.8984694480896,10.089597702026367
2019-02-15 00:00:00-05:00,164.3475341796875,5.968861103057861,10.184574127197266
2019-02-19 00:00:00-05:00,164.67250061035156,6.00465202331543,10.217876434326172
2019-02-20 00:00:00-05:00,164.6438751220703,5.999880313873291,10.216643333435059
2019-02-21 00:00:00-05:00,164.04164123535156,5.9318766593933105,10.132766723632812
2019-02-22 00:00:00-05:00,165.2555694580078,6.060726165771484,10.286948204040527
2019-02-25 00:00:00-05:00,165.85777282714844,6.127538204193115,10.360956192016602
2019-02-26 00:00:00-05:00,166.02981567382812,6.1466264724731445,10.3794584274292
2019-02-27 00:00:00-05:00,165.92466735839844,6.127538204193115,10.362190246582031
2019-02-28 00:00:00-05:00,165.54234313964844,6.089358806610107,10.31408405303955
